id	alignment	repeat	reason
546:9:B:1	yes	false	Search requests the 2023 consecutive decider and 4-3/4-0 result pattern.
546:9:B:2	no	false	Career statistics are a separate question clue, not the frozen tournament-chain gap.
546:9:C:1	yes	false	Search requests round-by-round results with the linked score pattern.
546:9:C:2	partial	false	Names a player and event with two scores but does not request the complete four-match chain.
546:17:B:1	partial	false	Find checks one 4-0 score in the tournament document, not the linked sequence.
546:17:B:2	partial	false	Find checks one 4-3 result but not its position in the full chain.
546:17:C:1	yes	false	Find ties 4-3, 4-0 and the later opponent in the same results source.
546:17:C:2	partial	false	Find checks a decider and 4-3 progression without the later 4-0 and loss.
546:25:B:1	no	true	Opening W13 already reports Ding's 4-3 opening result; adjacent context is not the requested bracket.
546:25:B:2	yes	false	Search seeks later English Open results to test whether the opening win extends into the full chain.
546:25:C:1	yes	false	Search asks for the proposed player's linked later scores in the tournament.
546:25:C:2	partial	false	Search seeks the relevant bracket but does not specify the full score-and-loss sequence.
546:33:B:1	yes	false	Find checks the proposed player's pro start and career break counts in his biography.
546:33:B:2	no	false	Tournament results do not address the frozen biography/statistics gap.
546:33:B:3	no	false	A match search does not check the frozen career-statistics gap.
546:33:C:1	yes	false	Find checks pro start and career break counts in the promoted biography.
546:33:C:2	no	false	Match results are separate from the frozen player-statistics gap.
546:41:B:1	yes	false	Find checks the pro year, one explicit part of the frozen career-statistics gap.
546:41:B:2	yes	false	Find checks centuries and maximum breaks, the other explicit part of that gap.
546:41:B:3	no	false	Tournament match results do not check career statistics.
546:41:C:1	yes	false	Find asks for the pro year, century count and maximum breaks together.
546:41:C:2	no	false	World Grand Prix scores do not check career statistics.
1094:23:B:1	partial	false	Generic founding-dispute discovery may find a club but does not link a fixture and goal chronology.
1094:23:B:2	partial	false	Generic name-history discovery tests only one of the combined fixture clues.
1094:23:B:3	partial	false	Generic dispute phrase tests club origin alone without the fixture.
1094:23:B:4	partial	false	Generic 95th-minute report discovery tests the isolated kick clue alone.
1094:23:C:1	partial	false	Generic split-club discovery does not join both clubs with a fixture.
1094:23:C:2	partial	false	Generic name-iteration discovery covers only the opponent-history clue.
1094:23:C:3	partial	false	Generic late free-kick discovery covers only the isolated event clue.
